animais
cachorro
gato
elefante
girafa
leao
tigre
cavalo
vaca
porco
ovelha
cervo
camelo
jacare
cobra
papagaio
tubarao
golfinho
baleia
urso
lobo
raposa
coelho
pato
ganso
coruja
aguia
pinguim
falcao
canguru
coala
zebra
rinoceronte
hipopotamo
macaco
chimpanze
gorila
tartaruga
peixe
lagarto
sapo
formiga
abelha
borboleta
aranha
escorpiao
caranguejo
camarao
polvo
foca
panda
onca
tamandua
