alimento
arroz
feijao
macarrao
frango
carne
peixe
porco
bife
hamburguer
pizza
sopa
salada
ovo
batata
pao
queijo
salame
presunto
mortadela
alface
cenoura
abobrinha
brocolis
acelga
berinjela
couve
espinafre
alho
cebola
chocolate
cuca
torta
bolo
pudim
mousse
gelatina
creme
requeijao
iogurte
açai
suco
agua
cafe
cha
refrigerante
leite
queijadinha
mel
manteiga
feijoada
churrasco
