frutas
maca
banana
laranja
uva
morango
melancia
melao
abacaxi
manga
pera
kiwi
limao
cereja
ameixa
pessego
framboesa
amora
pitanga
acerola
maracuja
caju
graviola
jabuticaba
goiaba
carambola
figo
roma
coco
tamarindo
abacate
caqui
seriguela
tamara
maracuja
groselha
melancia
